iter	Accuracy	MultiClass
385	0.6481482768	0.7765353485
386	0.6481135288	0.7764507374
387	0.6481830249	0.7763869498
388	0.6482247225	0.7763583277
389	0.6482247225	0.7762695342
390	0.6485513541	0.775912996
391	0.6486764471	0.775815496
392	0.6487389936	0.7757312596
393	0.6491490205	0.7753377893
394	0.6492185165	0.7752638372
395	0.649246315	0.775168535
396	0.649281063	0.7750870277
397	0.6493019118	0.7750296652
398	0.6494617528	0.7749264621
399	0.649440904	0.7749039927
400	0.6495173497	0.7748496014
401	0.6496771907	0.7748088692
402	0.6497327876	0.774732678
403	0.6497536364	0.7746886357
404	0.6497536364	0.7746575905
405	0.6498231325	0.7745575715
406	0.6498926286	0.7744304003
407	0.6498578805	0.7743794698
408	0.6499065278	0.7743106502
409	0.6498926286	0.7742547245
410	0.6500941672	0.7741750806
411	0.6501080664	0.7740960699
412	0.6501080664	0.7740530744
413	0.6502262098	0.7739518235
414	0.6500524695	0.7738204309
415	0.6501497641	0.7737546109
416	0.65039995	0.7734839151
417	0.6503443531	0.7734533953
418	0.6502470586	0.7733983487
419	0.6503721515	0.7733494349
420	0.6503443531	0.7732129263
421	0.6503235043	0.7731808729
422	0.65039995	0.773095157
423	0.6504277484	0.7730372563
424	0.6503930004	0.7730098863
425	0.6504068996	0.7729710079
426	0.6504972445	0.7729176258
427	0.6505389421	0.7726588247
428	0.6507404808	0.7725435348
429	0.6508516745	0.772465892
430	0.6508655737	0.7724222916
431	0.6509072714	0.7723844133
432	0.6509837171	0.7723127359
433	0.6510462635	0.7722364622
434	0.6511574573	0.7721369258
435	0.6512061045	0.7721058242
436	0.6512269534	0.7720481087
437	0.6512269534	0.7720053301
438	0.6512617014	0.7718830795
439	0.6513242479	0.7718316132
440	0.6513242479	0.7717998374
441	0.6513033991	0.7717087345
442	0.6513798447	0.7716667488
443	0.6513311975	0.7716422494
444	0.6513867944	0.7716208509
445	0.6514493408	0.7715262547
446	0.6514215424	0.7715018896
447	0.6513381471	0.771452473
448	0.6513242479	0.7714317951
449	0.651588333	0.7713629957
450	0.6515049377	0.7712498106
451	0.651623081	0.7711942693
452	0.6516578291	0.7711460945
453	0.6516300306	0.7710953744
454	0.6516091818	0.7710718539
455	0.6515396857	0.7710562386
456	0.6516161314	0.7710063804
457	0.6516786779	0.7707844565
458	0.6517620732	0.7707164311
459	0.6519358134	0.7705607671
460	0.651908015	0.7705123018
461	0.6520192087	0.7704416777
462	0.6520956544	0.7703786571
463	0.6520609064	0.7703504821
464	0.6521165032	0.7702899418
465	0.6521304025	0.7702619907
466	0.6521929489	0.7702238441
467	0.6523041427	0.7701847335
468	0.6523180419	0.7701432617
469	0.6523944876	0.770090579
470	0.6523180419	0.7700598705
471	0.6523249915	0.7699677783
472	0.6524153364	0.7699046619
473	0.6523666891	0.7698173819
474	0.6524709333	0.7697621606
475	0.6525126309	0.76968481
476	0.6525751774	0.7696603785
477	0.6525404293	0.7696214352
478	0.6526099254	0.7694000984
479	0.6525543286	0.769359656
480	0.6526377239	0.7692787728
481	0.6526238246	0.7692518924
482	0.6526724719	0.7691923942
483	0.6527628168	0.7691137584
484	0.6528809602	0.7690439905
485	0.6529991035	0.7689660621
486	0.6531102972	0.7689180703
487	0.6530199523	0.7687372755
488	0.6530824988	0.7686695981
489	0.6531519949	0.7686260933
490	0.65306165	0.7685774895
491	0.6531519949	0.7685560225
492	0.6531797933	0.7685238123
493	0.6531241965	0.7684439617
494	0.6532006421	0.7683767134
495	0.653256239	0.7683305446
496	0.6532353902	0.7682884778
497	0.6532353902	0.768200748
498	0.6532145414	0.7680885666
499	0.6532909871	0.7680773171
500	0.6532353902	0.7680062497
501	0.6533257351	0.7679529305
502	0.6533326847	0.7678980396
503	0.6532909871	0.7678793207
504	0.6533882816	0.7678101688
505	0.6533465839	0.7677296979
